"crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","lstat","medv"
4.8357,0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,11.45,20.6
5.872,0,18.1,0,0.693,6.405,96,1.6768,24,666,20.2,19.37,12.5
0.31533,0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,4.14,44.8
15.177,0,18.1,0,0.74,6.152,100,1.9142,24,666,20.2,26.45,8.7
0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,18.8,16.6
45.746,0,18.1,0,0.693,4.519,100,1.6582,24,666,20.2,36.98,7
0.61154,20,3.97,0,0.647,8.704,86.9,1.801,5,264,13,5.12,50
2.6355,0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,12.64,16.1
10.233,0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,18.03,14.6
0.05479,33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,8.93,28.4
14.334,0,18.1,0,0.7,4.88,100,1.5895,24,666,20.2,30.62,10.2
15.874,0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,21.08,10.9
0.24103,0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,12.79,22.2
1.0025,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,11.98,21
6.9622,0,18.1,0,0.7,5.713,97,1.9265,24,666,20.2,17.11,15.1
0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,8.16,22.9
0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,5.7,28.7
5.67,0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,3.73,50
0.41238,0,6.2,0,0.504,7.163,79.9,3.2157,8,307,17.4,6.36,31.6
0.35809,0,6.2,1,0.507,6.951,88.5,2.8617,8,307,17.4,9.71,26.7
5.7082,0,18.1,0,0.532,6.75,74.9,3.3317,24,666,20.2,7.74,23.7
0.14103,0,13.92,0,0.437,5.79,58,6.32,4,289,16,15.84,20.3
9.3389,0,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,24.08,9.5
0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,7.54,23.4
9.9166,0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,29.97,6.3
0.09068,45,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,5.1,37
9.2323,0,18.1,0,0.631,6.216,100,1.1691,24,666,20.2,9.53,50
0.08199,0,13.92,0,0.437,6.009,42.3,5.5027,4,289,16,10.4,21.7
0.06911,45,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,4.69,30.5
13.36,0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,16.35,12.7
2.4495,0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,11.32,22.3
0.09604,40,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,2.98,32
0.06162,0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,12.67,17.2
2.8184,0,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,10.42,21.8
0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,25.41,17.3
0.07503,33,2.18,0,0.472,7.42,71.9,3.0992,7,222,18.4,6.47,33.4
18.498,0,18.1,0,0.668,4.138,100,1.137,24,666,20.2,37.97,13.8
1.1929,0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,12.26,19.6
0.06047,0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,13.15,29.6
19.609,0,18.1,0,0.671,7.313,97.9,1.3163,24,666,20.2,13.44,15
0.54011,20,3.97,0,0.647,7.203,81.8,2.1121,5,264,13,9.59,33.8
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,16.3,15.6
0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,9.5,25
